key,en,fr
CAMP_RETURN_TO_PLANETE,Return to planet,Retour à la planète
GAME_NAME,Kyukodo,Kyukodo
GAME_TAGLINE,Setup the planet,Préparation de planète
MAIN_START_BUTTON,START,DÉMARRER
MAIN_CREDITS_BUTTON,CREDITS,CRÉDITS
MAIN_QUIT_BUTTON,QUIT,QUITTER
QUIT_CONFIRM_TEXT,"You are quitting the game, are you sure?","Tu vas quitter le jeu, tu es sûr ?"
QUIT_CONFIRM_BUTTON,Quit,Quitter
QUIT_CONFIRM_CANCEL,Cancel,Annuler
CONSOLE_INPUT_PLACEHOLDER,Enter command here…,Entre une commande ici…
CONSOLE_INPUT_SUBMIT,Submit,Envoyer
CREDITS_TAGLINE,Credits,Crédits
CREDITS_TITLE_N_AUTHOR,[b]{title}[/b] by [b]{author}[/b],[b]{title}[/b] par [b]{author}[/b]
CREDITS_BACK_BUTTON,BACK,RETOUR
ITEM_USE_BUTTON,Use,Utiliser
ITEM_DROP_BUTTON,Drop,Jeter
RESOURCE_COLLECT_WITH,Collect with,Récolter avec
UPGRADE_TITLE,UPGRADE,AMÉLIORER
UPGRADE_STONE_LABEL,Stone,Pierre
UPGRADE_GOLD_LABEL,Gold,Or
UPGRADE_BUTTON,UPGRADE,AMÉLIORER
OBJECTIVE_TITLE,Ongoing objective,Objectif en cours
OBJECTIVE_FINISH_BUTTON,Finish,Terminer
OBJECTIVE_MAKE_SOME_STEPS,"Before all, let’s walk some steps.","Avant toute chose, dégourdissez-vous les pattes."
OBJECTIVE_COLLECT_FOR_TENTS,To setup your camp : collect 10 stone units.,Afin de construire construire votre camp : récoltez 10 unités de pierre.
OBJECTIVE_BUILD_FIRST_TENTS,"Start setuping your camp, build first tents.","Débutez l’installation de votre campement, construisez les premières tentes."
OBJECTIVE_THE_END,"Congratulations, you’ve finished the objectives.","Félicitation, vous avez fini les objectifs."
PAUSE_TITLE,PAUSE,PAUSE
PAUSE_RESUME_BUTTON,Resume,Reprendre
PAUSE_QUIT_BUTTON,Quit,Quitter
